,Product status,Ad format,RECALL POTENTIAL INDEX,VISIBILITY INDEX,BRAND LINKAGE INDEX,"Ad length (TV, Radio)",Likeability Top,Likeability Top2,Likeability Bottom,Is believable Top,Is believable Top2,Think new way Top,Think new way Top2,Makes me feel good about x Top,Makes me feel good about x Top2,Is entertaining Top,Is entertaining Top2,Is unique Top,Is unique Top2,Is irritating Top,Is irritating Top2,Like to see on TV Top,Like to see on TV Top2,Is informative Top,Is informative Top2,For people like me Top,For people like me Top2,People will talk about Top,People will talk about Top2,Told me sthg new Top,Told me sthg new Top2,Brand Diff Top,Brand Diff Top2,Fits with way Top,Fits with way Top2,Told important Top,Told important Top2,Stirred my emotions Top,Stirred my emotions Top2,Is confusing Top,Is confusing Top2,Notice & remember Top,Notice & remember Top2,Clarity Top,Clarity Top2,Chance_Opinion Top,Chance_Opinion Top2,Mesaj İletimi (Top2Box),Mesaj İnandırıcılığı (Top2Box),Mesaj Hitap (Top2Box)
13,New,Animatic,128.0,121.0,129.0,35.0,50.0,77.0,6.0,61.0,83.0,49.0,86.0,50.0,82.0,46.0,80.0,40.0,76.0,12.0,32.0,45.0,76.0,60.0,83.0,51.0,77.0,45.0,77.0,64.0,88.0,52.0,84.0,53.0,84.0,48.0,79.0,45.0,78.0,12.0,30.0,51.0,79.0,58.0,86.0,49.0,76.0,85.0,77.0,74.0
14,Existing,Animatic,102.0,103.0,102.0,60.0,47.0,84.0,7.0,48.0,83.0,51.0,81.0,51.0,86.0,45.0,75.0,27.0,68.0,15.0,38.0,46.0,76.0,53.0,83.0,42.0,83.0,39.0,81.0,47.0,82.0,46.0,79.0,49.0,85.0,43.0,82.0,45.0,79.0,15.0,39.0,40.0,72.0,50.0,89.0,37.0,73.0,71.0,71.0,71.0
15,Relaunch of existing product,Animatic,117.0,117.0,115.0,56.0,57.0,82.0,3.0,56.0,89.0,47.0,81.0,57.0,87.0,61.0,86.0,45.0,79.0,12.0,28.0,47.0,81.0,52.0,87.0,52.0,82.0,42.0,82.0,49.0,80.0,47.0,83.0,58.0,89.0,44.0,83.0,43.0,78.0,11.0,24.0,38.0,77.0,57.0,98.0,46.0,74.0,88.0,88.0,87.0
16,Relaunch of existing product,Animatic,127.0,123.0,121.0,44.0,69.0,86.0,1.0,59.0,91.0,49.0,85.0,62.0,91.0,64.0,93.0,49.0,78.0,6.0,17.0,55.0,84.0,62.0,94.0,56.0,92.0,46.0,85.0,46.0,84.0,49.0,85.0,63.0,94.0,50.0,87.0,50.0,87.0,8.0,18.0,46.0,84.0,62.0,97.0,49.0,81.0,86.0,87.0,87.0
17,Existing,Animatic,102.0,95.0,197.0,47.0,52.0,81.0,2.0,55.0,88.0,43.0,87.0,49.0,90.0,55.0,91.0,26.0,73.0,5.0,21.0,39.0,78.0,58.0,89.0,46.0,87.0,29.0,80.0,44.0,85.0,45.0,83.0,44.0,88.0,49.0,86.0,40.0,81.0,10.0,24.0,33.0,79.0,49.0,98.0,89.7,81.3,73.0,68.0,67.0
18,Existing,Animatic,116.0,134.0,104.0,31.0,53.0,83.0,2.0,57.0,90.0,52.0,87.0,56.0,97.0,47.0,89.0,38.0,84.0,6.0,16.0,43.0,81.0,61.0,92.0,57.0,91.0,51.0,88.0,58.0,93.0,53.0,96.0,55.0,94.0,63.0,95.0,51.0,92.0,6.0,22.0,43.0,84.0,58.0,96.0,90.7,85.3,80.0,75.0,78.0
19,Existing,Animatic,128.0,132.0,121.0,52.0,59.0,87.0,1.0,54.0,85.0,51.0,86.0,58.0,89.0,61.0,86.0,30.0,80.0,8.0,31.0,53.0,79.0,57.0,89.0,53.0,89.0,45.0,83.0,48.0,89.0,47.0,86.0,58.0,91.0,50.0,91.0,49.0,83.0,14.0,28.0,44.0,79.0,61.0,99.0,90.7,82.3,74.0,71.0,67.0
20,Existing,Animatic,154.0,187.0,124.0,57.0,65.0,90.0,0.0,60.0,93.0,64.0,94.0,66.0,96.0,66.0,94.0,51.0,91.0,7.0,23.0,55.0,87.0,68.0,94.0,69.0,95.0,59.0,88.0,69.0,94.0,62.0,89.0,61.0,93.0,68.0,96.0,58.0,90.0,11.0,29.0,64.0,91.0,63.0,100.0,91.3,82.7,74.0,73.0,74.0
23,Existing,Finished,106.0,131.0,91.0,60.0,79.0,94.0,1.0,61.0,90.0,43.0,84.0,45.0,87.0,47.4,85.4,42.0,83.0,9.0,25.0,56.0,86.0,51.0,89.0,57.0,88.0,43.0,85.0,38.0,80.0,38.0,84.0,45.0,87.0,63.0,91.0,63.0,87.0,12.0,29.0,57.0,92.0,55.0,92.0,43.0,77.0,94.0,89.0,91.0
24,Existing,Animatic,74.4,66.4,82.7,58.0,39.0,68.0,7.0,34.0,77.0,29.0,69.0,37.0,78.0,39.0,78.0,27.0,67.0,13.0,40.0,29.0,67.0,40.0,79.0,31.0,74.0,30.0,74.0,26.0,75.0,30.0,75.0,35.0,77.0,29.0,73.0,30.0,65.0,10.0,45.0,29.0,65.0,46.0,92.0,25.0,59.0,62.0,55.0,50.0
25,Existing,Animatic,51.4,20.7,74.4,54.0,38.0,77.0,2.0,29.0,80.0,19.0,73.0,35.0,75.0,46.0,80.0,22.0,62.0,4.0,27.0,24.0,74.0,33.0,84.0,30.0,72.0,17.0,75.0,27.0,80.0,23.0,72.0,28.0,84.0,28.0,81.0,24.0,77.0,7.0,35.0,24.0,61.0,48.0,92.0,25.0,60.0,54.0,52.0,42.0
26,Existing,Animatic,87.1,91.7,86.6,54.0,45.0,80.0,0.0,38.0,85.0,36.0,83.0,50.0,91.0,42.0,85.0,31.0,74.0,9.0,28.0,42.0,78.0,45.0,85.0,43.0,83.0,37.0,81.0,44.0,80.0,39.0,75.0,42.0,90.0,42.0,82.0,34.0,72.0,11.0,35.0,29.0,73.0,54.0,93.0,25.0,69.0,67.0,58.0,58.0
27,Existing,Finished,108.6,111.2,106.3,54.0,47.0,87.0,0.0,47.0,92.0,40.0,89.0,47.0,93.0,65.0,94.0,26.0,77.0,6.0,29.0,42.0,82.0,51.0,95.0,39.0,89.0,34.0,85.0,51.0,92.0,36.0,85.0,40.0,93.0,41.0,89.0,42.0,80.0,4.0,33.0,39.0,74.0,57.0,97.0,90.7,84.3,78.0,74.0,71.0
28,Existing,Finished,96.4,111.8,88.5,54.0,44.0,80.0,2.0,41.0,86.0,40.0,88.0,42.0,88.0,56.0,84.0,27.0,77.0,11.0,35.0,32.0,78.0,47.0,89.0,37.0,83.0,35.0,82.0,44.0,85.0,36.0,82.0,39.0,88.0,39.0,83.0,37.0,83.0,13.0,39.0,38.0,79.0,49.0,91.0,83.7,76.3,69.0,70.0,65.0
29,Existing,Finished,86.3,77.1,97.7,30.0,52.0,83.0,0.0,49.0,86.0,35.0,76.0,48.0,91.0,41.0,79.0,28.0,71.0,7.0,18.0,42.0,79.0,49.0,84.0,57.0,89.0,33.0,77.0,41.0,84.0,49.0,85.0,59.0,90.0,37.0,80.0,50.0,88.0,12.0,32.0,33.0,76.0,58.0,99.0,36.0,76.0,82.0,76.0,79.0
30,Existing,Finished,112.0,124.0,199.0,30.0,44.0,82.0,3.0,49.0,89.0,43.0,85.0,57.0,89.0,66.0,91.0,44.0,79.0,13.0,24.0,50.0,84.0,39.0,79.0,54.0,84.0,43.0,82.0,45.0,80.0,51.0,88.0,56.0,89.0,34.0,80.0,48.0,86.0,13.0,30.0,50.0,81.0,49.0,92.0,36.0,77.0,77.0,77.0,77.0
31,Existing,Animatic,132.0,109.0,146.0,35.0,73.0,91.0,0.0,70.0,92.0,54.0,86.0,67.0,91.0,46.0,82.0,34.0,81.0,7.0,18.0,54.0,84.0,71.0,93.0,63.0,89.0,41.0,83.0,51.0,89.0,55.0,87.0,64.0,90.0,61.0,92.0,56.0,89.0,11.0,24.0,36.0,81.0,62.0,99.0,54.0,84.0,84.0,84.0,84.0
32,Existing,Animatic,170.0,166.0,153.0,70.0,73.0,96.0,0.0,63.0,97.0,59.0,93.0,67.0,94.0,82.0,95.0,47.0,89.0,12.0,21.0,65.0,96.0,62.0,93.0,63.0,96.0,51.0,90.0,61.0,95.0,58.0,94.0,73.0,98.0,45.0,87.0,64.0,94.0,12.0,23.0,44.0,93.0,68.0,99.0,40.0,88.0,94.0,86.0,90.0
33,Existing,Animatic,161.0,150.0,154.0,71.0,68.0,91.0,0.0,61.0,92.0,53.0,87.0,61.0,91.0,76.0,93.0,44.0,86.0,13.0,20.0,63.0,89.0,61.0,90.0,56.0,90.0,46.0,87.0,60.0,94.0,55.0,90.0,66.0,90.0,38.0,88.0,55.0,89.0,5.0,21.0,59.0,90.0,69.0,100.0,47.0,86.0,92.0,85.0,84.0
34,Existing,Animatic,103.0,120.0,90.0,88.0,66.0,91.0,0.0,58.0,92.0,44.0,89.0,62.0,90.0,49.7,85.5,33.0,75.0,9.0,20.0,58.0,90.0,59.0,90.0,56.0,87.0,48.0,88.0,46.0,85.0,44.0,86.0,57.0,92.0,59.0,88.0,64.0,91.0,8.0,22.0,46.0,88.0,35.0,85.0,34.0,86.0,86.0,83.0,80.0
35,Existing,Animatic,114.0,119.5,107.0,60.0,61.0,96.0,1.0,56.0,95.0,53.0,88.0,57.0,94.0,61.0,95.0,32.0,83.0,6.0,15.0,51.0,87.0,57.0,90.0,62.0,91.0,52.0,88.0,46.0,87.0,42.0,82.0,55.0,91.0,58.0,94.0,59.0,96.0,6.0,23.0,42.0,82.0,54.0,94.0,92.0,90.0,88.0,83.0,87.0
36,Existing,Animatic,138.4,148.3,121.1,24.0,58.0,86.0,2.0,64.0,93.0,59.0,92.0,61.0,94.0,62.0,93.0,42.0,86.0,11.0,28.0,47.0,90.0,63.0,94.0,54.0,93.0,51.0,90.0,62.0,95.0,56.0,91.0,58.0,94.0,56.0,92.0,57.0,90.0,9.0,27.0,47.0,83.0,52.0,96.0,92.7,89.3,86.0,84.0,87.0
37,Existing,Animatic,115.9,121.3,108.6,70.0,69.0,94.0,1.0,52.0,94.0,50.0,93.0,65.0,94.0,73.0,94.0,37.0,91.0,4.0,11.0,57.0,87.0,52.0,90.0,60.0,94.0,46.0,87.0,45.0,89.0,36.0,90.0,53.0,94.0,54.0,89.0,62.0,92.0,5.0,13.0,52.0,92.0,63.0,96.0,91.3,86.7,82.0,84.0,82.0
38,Existing,Animatic,147.4,149.5,133.8,35.0,68.0,96.0,0.0,71.0,97.0,53.0,95.0,70.0,96.0,75.0,96.0,36.0,92.0,8.0,15.0,60.0,85.0,65.0,97.0,61.0,96.0,61.0,92.0,53.0,95.0,42.0,94.0,67.0,96.0,63.0,95.0,56.0,96.0,6.0,22.0,58.0,91.0,65.0,98.0,96.0,94.0,92.0,88.0,90.0
39,Existing,Finished,107.9,96.3,117.5,30.0,60.0,89.0,0.0,59.0,96.0,41.0,86.0,60.0,93.0,40.0,86.0,30.0,78.0,8.0,18.0,42.0,89.0,46.0,90.0,58.0,91.0,36.0,81.0,37.0,84.0,52.0,92.0,60.0,94.0,42.0,86.0,51.0,86.0,8.0,21.0,42.0,75.0,64.0,93.0,48.0,81.0,84.0,84.0,77.0
40,Existing,Finished,57.8,65.9,56.5,15.0,49.0,80.0,2.0,38.0,83.0,41.0,88.0,49.0,87.0,31.0,76.0,24.0,69.0,9.0,25.0,35.0,75.0,50.0,85.0,47.0,87.0,37.0,81.0,42.0,88.0,42.0,83.0,46.0,84.0,46.0,86.0,38.0,84.0,11.0,32.0,36.0,72.0,48.0,92.0,48.0,81.0,85.0,78.0,80.0
41,Existing,Finished,65.1,78.5,59.0,15.0,50.0,79.0,2.0,40.0,84.0,42.0,81.0,43.0,88.0,30.0,79.0,22.0,70.0,10.0,27.0,37.0,78.0,50.0,87.0,46.0,86.0,39.0,80.0,46.0,88.0,40.0,80.0,45.0,87.0,45.0,83.0,41.0,82.0,10.0,29.0,34.0,75.0,48.0,97.0,33.0,74.0,87.0,81.0,81.0
42,Line/Range extension,Animatic,87.7,50.4,126.1,22.0,30.0,63.0,5.0,39.0,77.0,36.0,78.0,38.0,84.0,32.0,73.0,25.0,63.0,13.0,39.0,42.2,80.5,43.0,86.0,35.0,71.0,25.0,67.0,48.0,86.0,36.0,76.0,37.0,82.0,28.0,72.0,33.0,70.0,14.0,41.0,25.0,56.0,49.2,92.8,24.0,58.0,56.0,54.0,52.0
43,Line/Range extension,Animatic,91.0,51.1,131.5,31.0,35.0,77.0,3.0,48.0,93.0,46.0,88.0,48.0,89.0,33.0,74.0,31.0,69.0,5.0,23.0,42.2,80.5,50.0,90.0,40.0,81.0,28.0,73.0,54.0,94.0,46.0,82.0,43.0,90.0,30.0,80.0,38.0,79.0,9.0,30.0,26.0,66.0,49.2,92.8,28.0,72.0,63.0,60.0,61.0
44,Line/Range extension,Animatic,87.9,40.7,136.8,30.0,32.0,73.0,3.0,45.0,86.0,42.0,82.0,49.0,85.0,31.0,76.0,22.0,62.0,6.0,22.0,42.2,80.5,53.0,88.0,40.0,82.0,26.0,68.0,53.0,89.0,42.0,76.0,42.0,83.0,29.0,71.0,41.0,75.0,7.0,25.0,24.0,61.0,49.2,92.8,29.0,71.0,63.0,59.0,59.0
45,Relaunch of existing product,Animatic,115.2,114.9,112.9,87.0,63.0,90.0,0.0,51.0,88.0,47.0,86.0,51.0,88.0,54.0,89.0,30.0,80.0,13.0,26.0,44.0,85.0,60.0,92.0,47.0,88.0,39.0,90.0,43.0,86.0,42.0,83.0,47.0,92.0,43.0,89.0,43.0,83.0,9.0,27.0,39.0,83.0,52.0,95.0,35.0,81.0,82.0,75.0,79.0
46,Relaunch of existing product,Animatic,123.5,129.2,113.9,94.0,59.0,79.0,2.0,56.0,90.0,48.0,86.0,53.0,86.0,60.0,88.0,37.0,78.0,13.0,32.0,45.0,82.0,59.0,89.0,51.0,83.0,40.0,87.0,54.0,86.0,45.0,82.0,53.0,91.0,55.0,87.0,49.0,81.0,16.0,39.0,43.0,82.0,54.0,94.0,40.0,72.0,77.0,79.0,77.0
47,Relaunch of existing product,Animatic,54.9,56.2,59.5,70.0,37.0,69.0,6.0,33.0,79.0,35.0,74.0,29.0,73.0,41.0,81.0,16.0,66.0,5.0,39.0,29.0,64.0,34.0,83.0,29.0,72.0,25.0,67.0,26.0,74.0,31.0,73.0,29.0,75.0,28.0,74.0,22.0,63.0,16.0,48.0,21.0,58.0,41.0,84.0,24.0,55.0,59.0,58.0,59.0
48,Relaunch of existing product,Animatic,92.6,107.8,81.8,71.0,50.0,77.0,4.0,43.0,79.0,43.0,84.0,46.0,81.0,48.0,82.0,33.0,69.0,15.0,41.0,43.0,79.0,48.0,86.0,42.0,75.0,36.0,76.0,46.0,83.0,41.0,83.0,38.0,83.0,42.0,80.0,39.0,72.0,13.0,38.0,35.0,71.0,40.0,84.0,34.0,66.0,68.0,68.0,68.0
49,Relaunch of existing product,Animatic,57.6,51.0,69.3,60.0,38.0,73.0,5.0,30.0,78.0,27.0,70.0,30.0,76.0,44.0,77.0,18.0,62.0,11.0,35.0,23.0,68.0,37.0,79.0,27.0,74.0,23.0,71.0,34.0,78.0,26.0,71.0,29.0,80.0,25.0,74.0,21.0,74.0,17.0,41.0,31.0,61.0,42.0,86.0,26.0,58.0,73.0,68.0,66.0
50,Relaunch of existing product,Animatic,97.6,109.3,88.8,72.0,55.0,84.0,2.0,47.0,85.0,40.0,83.0,44.0,85.0,50.0,84.0,32.0,73.0,8.0,28.0,36.0,79.0,55.0,87.0,48.0,84.0,37.0,78.0,51.0,88.0,39.0,78.0,40.0,84.0,43.0,86.0,36.0,80.0,12.0,34.0,37.0,81.0,46.0,87.0,35.0,77.0,80.0,77.0,76.0
51,Relaunch of existing product,Animatic,82.3,75.9,91.6,67.0,49.0,80.0,3.0,42.0,82.0,32.0,81.0,33.0,78.0,45.0,79.0,27.0,72.0,10.0,27.0,30.0,80.0,51.0,84.0,34.0,82.0,29.0,76.0,35.0,75.0,27.0,76.0,40.0,84.0,32.0,79.0,29.0,77.0,11.0,34.0,27.0,77.0,51.0,91.0,34.0,71.0,77.0,75.0,67.0
52,Relaunch of existing product,Animatic,107.7,121.9,94.8,67.0,51.0,82.0,1.0,45.0,83.0,41.0,82.0,42.0,83.0,47.0,86.0,37.0,81.0,13.0,35.0,40.0,84.0,55.0,88.0,39.0,82.0,35.0,82.0,51.0,84.0,39.0,84.0,46.0,87.0,43.0,85.0,35.0,81.0,12.0,34.0,41.0,82.0,54.0,92.0,37.0,80.0,74.0,76.0,74.0
53,Existing,Animatic,93.7,99.4,90.7,26.0,43.0,86.0,3.0,45.0,86.0,38.0,86.0,42.0,84.0,43.0,88.0,25.0,73.0,7.0,25.0,33.0,79.0,36.0,82.0,40.0,84.0,34.0,84.0,43.0,84.0,43.0,85.0,46.0,90.0,30.0,81.0,38.0,82.0,6.0,31.0,31.0,76.0,53.0,95.0,30.0,72.0,76.0,69.0,69.0
54,Existing,Animatic,104.0,123.6,87.5,26.0,42.0,79.0,4.0,40.0,85.0,41.0,87.0,43.0,89.0,44.0,85.0,34.0,79.0,14.0,38.0,33.0,79.0,35.0,84.0,47.0,85.0,29.0,78.0,50.0,88.0,43.0,87.0,44.0,88.0,33.0,86.0,44.0,83.0,12.0,37.0,36.0,78.0,53.0,94.0,36.0,72.0,77.0,74.0,73.0
55,Existing,Animatic,120.0,100.7,133.8,28.0,56.0,87.0,0.0,43.0,81.0,43.0,82.0,51.0,87.0,52.0,80.0,40.0,78.0,14.0,25.0,43.0,74.0,47.0,86.0,54.0,82.0,36.0,70.0,48.0,87.0,42.0,80.0,51.0,84.0,34.0,73.0,48.0,81.0,17.0,32.0,47.0,73.0,67.0,96.0,46.0,80.0,88.0,81.0,75.0
56,Existing,Animatic,120.6,122.8,114.8,28.0,55.0,84.0,2.0,45.0,81.0,45.0,82.0,50.0,87.0,53.0,82.0,40.0,76.0,15.0,29.0,41.0,76.0,43.0,85.0,50.0,84.0,38.0,75.0,50.0,84.0,49.0,83.0,49.0,89.0,46.0,79.0,47.0,82.0,16.0,34.0,57.0,84.0,70.0,96.0,47.0,78.0,85.0,82.0,75.0
57,Relaunch of existing product,Animatic,112.1,98.1,122.9,41.0,47.0,84.0,1.0,53.0,91.0,44.0,83.0,57.0,88.0,61.0,88.0,33.0,77.0,6.0,20.0,42.0,79.0,57.0,93.0,40.0,86.0,30.0,81.0,59.0,93.0,57.0,90.0,54.0,86.0,35.0,86.0,38.0,84.0,6.0,26.0,27.0,79.0,73.0,99.0,30.0,80.0,73.0,70.0,70.0
58,Existing,Finished,119.6,117.7,117.6,57.0,70.0,92.0,1.0,68.0,93.0,50.0,86.0,67.0,93.0,47.0,84.0,38.0,81.0,11.0,18.0,56.0,90.0,56.0,90.0,63.0,91.0,45.0,88.0,52.0,92.0,61.0,90.0,72.0,91.0,55.0,90.0,63.0,90.0,14.0,25.0,48.0,86.0,77.0,98.0,57.0,91.0,89.0,87.0,84.0
59,Existing,Finished,100.2,107.4,94.7,42.0,51.0,89.0,0.0,55.0,93.0,47.0,95.0,48.0,92.0,46.0,94.0,28.0,82.0,6.0,21.0,33.0,88.0,56.0,93.0,41.0,91.0,34.0,87.0,51.0,94.0,36.0,86.0,41.0,89.0,51.0,94.0,38.0,87.0,11.0,32.0,36.0,81.0,53.0,94.0,28.0,81.0,80.0,77.0,72.0
60,Existing,Finished,82.3,88.8,80.4,41.0,49.0,85.0,0.0,38.0,85.0,34.0,83.0,45.0,89.0,44.0,88.0,22.0,62.0,11.0,31.0,34.0,80.0,43.0,89.0,43.0,86.0,30.0,80.0,40.0,85.0,32.0,74.0,38.0,85.0,39.0,88.0,30.0,75.0,12.0,34.0,31.0,74.0,50.0,97.0,25.0,75.0,79.0,68.0,72.0
61,Existing,Finished,99.4,106.0,94.6,50.0,59.0,85.0,2.0,46.0,92.0,39.0,84.0,49.0,88.0,54.0,90.0,29.0,75.0,6.0,24.0,39.0,78.0,52.0,86.0,47.0,89.0,41.0,85.0,42.0,83.0,39.0,81.0,44.0,88.0,48.0,88.0,36.0,81.0,7.0,30.0,33.0,80.0,49.0,92.0,32.0,75.0,72.0,69.0,65.0
62,Existing,Animatic,149.3,155.2,126.8,60.0,78.0,95.0,1.0,69.0,90.0,57.0,90.0,75.0,93.0,54.0,92.0,56.0,87.0,8.0,16.0,65.0,90.0,57.0,90.0,69.0,92.0,61.0,91.0,58.0,92.0,63.0,89.0,69.0,92.0,65.0,91.0,74.0,92.0,10.0,24.0,51.0,92.0,60.0,91.0,52.0,90.0,97.0,96.0,96.0
63,Existing,Animatic,103.0,114.0,94.0,54.0,45.0,79.0,2.0,47.0,88.0,41.0,83.0,48.0,85.0,54.0,89.0,34.0,81.0,13.0,28.0,43.0,86.0,53.0,89.0,43.0,85.0,36.0,83.0,45.0,89.0,34.0,84.0,44.0,87.0,44.0,86.0,37.0,81.0,11.0,36.0,38.0,83.0,51.0,95.0,34.0,74.0,84.0,87.0,84.0
64,Existing,Animatic,106.0,111.0,100.0,45.0,47.0,78.0,3.0,48.0,90.0,41.0,81.0,42.0,91.0,57.0,86.0,34.0,83.0,11.0,29.0,42.0,83.0,52.0,90.0,48.0,84.0,42.0,85.0,48.0,90.0,44.0,81.0,41.0,88.0,43.0,88.0,41.0,85.0,16.0,40.0,40.0,76.0,58.0,91.0,38.0,74.0,86.0,86.0,83.0
65,Existing,Finished,93.7,97.8,92.4,40.0,31.0,76.0,2.0,37.0,93.0,30.0,84.0,43.0,88.0,45.0,85.0,17.0,69.0,13.0,39.0,21.0,70.0,47.0,89.0,37.0,85.0,30.0,72.0,48.0,87.0,30.0,80.0,29.0,90.0,30.0,85.0,24.0,71.0,14.0,45.0,18.0,68.0,46.0,97.0,12.0,63.0,64.0,51.0,47.0
